px_0,px_1,px_2,px_3,px_4,px_5,px_6,px_7,px_8,px_9,px_10,px_11,px_12,px_13,px_14,px_15,px_16,px_17,px_18,px_19,px_20,px_21,px_22,px_23,px_24,px_25,px_26,px_27,px_28,px_29,px_30,px_31,px_32,px_33,px_34,px_35,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_8,mask_9,mask_10,mask_11,mask_12,mask_13,mask_14,mask_15,mask_16,mask_17,mask_18,mask_19,mask_20,mask_21,mask_22,mask_23,mask_24,mask_25,mask_26,mask_27,mask_28,mask_29,mask_30,mask_31,mask_32,mask_33,mask_34,mask_35,posture_meta
0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.537,0.834,0.75,0.95,0.067,0.0,0.147,0.952,1.048,1.025,0.641,0.431,0.61,0.0,0.716,0.901,1.0,1.325,0.877,1.077,4.25,1.107,0.861,0.979,0.638,1.02,1.452,1.015,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.979,0.617,0.0,1.01,0.89,0.0,1.13,0.938,0.804,0.503,1.125,0.833,0.447,0.735,0.873,0.876,1.062,0.242,0.338,0.662,0.766,0.821,0.956,0.0,1.212,0.908,0.969,2.75,1.091,0.81,0.461,0.574,0.959,1.19,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.112,0.654,0.082,0.556,0.325,0.0,1.043,1.013,0.928,0.0,0.375,0.0,0.368,1.206,1.444,1.114,0.425,0.0,0.538,0.997,1.062,1.063,0.181,0.176,1.5,0.938,1.092,0.0,0.0,0.0,0.879,0.66,1.074,1.024,0.476,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.916,0.0,0.0,1.051,0.845,0.0,1.087,0.978,0.804,0.664,1.025,0.533,1.132,1.059,1.032,1.067,1.112,0.891,0.0,0.571,0.664,0.8,0.89,0.0,0.412,0.646,1.046,3.5,0.955,0.672,0.0,0.0,0.818,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
1.098,0.651,0.125,0.596,0.315,0.0,1.261,1.013,1.0,0.0,0.325,0.0,0.368,1.059,1.159,0.829,0.112,0.0,0.738,0.997,1.023,0.758,0.033,0.0,1.362,0.877,1.077,0.0,0.0,0.0,0.879,0.553,0.905,1.119,0.412,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.937,0.0,0.0,1.071,0.88,0.0,1.087,0.982,0.972,0.687,1.025,0.775,1.158,1.088,1.048,1.133,1.175,0.945,0.723,0.65,0.695,0.905,0.918,0.0,0.712,0.815,1.138,4.75,1.0,0.759,0.0,0.021,0.932,1.167,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.704,0.491,0.875,0.767,0.289,0.471,0.73,0.819,0.962,0.352,0.338,0.674,0.727,0.779,0.89,0.0,1.175,0.892,1.015,3.0,1.107,0.839,0.908,0.574,0.966,1.238,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.937,0.0,0.0,0.929,0.86,0.0,0.783,0.894,0.834,0.501,0.85,0.7,0.263,0.441,0.73,0.752,0.925,0.0,0.0,0.634,0.727,0.779,0.896,0.0,1.062,0.738,0.862,0.75,1.066,0.781,0.858,0.383,0.899,1.024,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.937,0.0,0.0,1.0,0.915,0.0,1.087,0.978,0.967,0.671,1.05,0.783,1.132,1.088,1.063,1.105,1.138,0.922,0.677,0.583,0.656,0.874,0.907,0.0,0.613,0.662,1.077,4.25,0.992,0.737,0.0,0.0,0.899,0.429,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.874,0.0,0.0,1.0,0.88,0.0,0.739,0.947,0.945,0.679,0.85,0.767,0.947,0.824,0.921,1.029,1.025,0.859,0.569,0.61,0.625,0.8,0.868,0.0,0.575,0.569,0.969,2.25,0.963,0.693,0.0,0.0,0.872,0.905,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
1.098,0.584,0.0,0.384,0.305,0.0,2.348,1.15,0.898,0.0,0.325,0.0,1.079,1.941,1.429,0.886,0.325,0.023,0.538,0.988,0.875,1.021,0.17,0.588,1.312,0.923,1.354,3.5,0.0,0.0,0.865,0.532,0.892,1.0,0.405,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.93,0.0,0.0,1.02,0.91,0.0,1.087,0.982,0.961,0.669,1.075,0.525,1.158,1.088,1.063,1.095,1.138,0.914,0.538,0.622,0.672,0.853,0.901,0.0,0.613,0.662,1.062,4.0,0.984,0.715,0.0,0.0,0.885,1.024,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
