s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.993,0.272,0.0,1.01,0.915,0.0,1.174,0.93,0.688,0.481,0.9,0.808,0.263,0.471,0.73,0.819,0.937,0.781,0.0,0.665,0.727,0.779,0.896,0.176,1.125,0.754,0.692,0.75,1.07,0.788,0.837,0.404,0.912,1.024,0.57,0.0,normal
0.937,0.069,0.0,0.939,0.875,0.0,0.783,0.894,0.671,0.484,0.85,0.8,0.263,0.471,0.746,0.819,0.95,0.773,0.0,0.668,0.727,0.779,0.901,0.235,1.125,0.769,0.708,0.75,1.07,0.788,0.837,0.404,0.912,1.048,0.768,0.0,normal
0.993,0.066,0.0,1.02,0.91,0.0,1.13,0.93,0.715,0.504,1.2,0.775,0.474,0.735,0.873,0.857,1.062,0.367,0.0,0.689,0.781,0.853,0.951,0.0,1.212,0.892,0.938,3.0,1.107,0.839,0.674,0.574,0.973,1.238,0.762,0.0,normal
0.937,0.055,0.0,0.939,0.87,0.0,0.783,0.894,0.715,0.499,0.875,0.567,0.263,0.471,0.73,0.8,0.95,0.312,0.0,0.668,0.734,0.779,0.907,0.0,1.125,0.769,0.831,1.0,1.074,0.788,0.823,0.404,0.912,1.048,0.72,0.0,normal
0.993,0.05,0.0,1.02,0.91,0.0,1.174,0.93,0.735,0.503,1.075,0.633,0.474,0.706,0.857,0.867,1.05,0.461,0.0,0.689,0.789,0.863,0.951,0.0,1.212,0.877,0.954,2.75,1.103,0.839,0.894,0.574,0.973,1.238,0.561,0.0,normal
1.049,0.001,0.0,1.02,0.915,0.0,1.13,0.925,0.743,0.503,1.3,0.8,0.474,0.735,0.873,0.867,1.038,0.422,0.0,0.695,0.836,0.926,0.956,0.0,1.212,0.877,0.938,2.5,1.103,0.839,0.943,0.766,1.0,1.262,0.713,0.0,normal
0.993,0.0,0.0,1.01,0.92,0.0,1.13,0.925,0.738,0.496,1.1,0.867,0.263,0.471,0.73,0.79,0.937,0.156,0.0,0.674,0.719,0.779,0.901,0.0,1.112,0.754,0.754,0.75,1.07,0.781,0.83,0.383,0.912,1.048,0.604,0.0,normal
1.0,0.0,0.0,1.02,0.93,0.0,1.174,0.93,0.732,0.501,1.075,0.867,0.474,0.706,0.857,0.876,1.062,0.0,0.0,0.701,0.797,0.874,0.951,0.0,1.237,0.892,0.892,3.0,1.103,0.839,0.901,0.574,0.966,1.238,0.698,0.0,normal
1.014,0.0,0.0,1.02,0.92,0.0,1.174,0.93,0.66,0.494,1.075,0.867,0.474,0.735,0.857,0.905,1.062,0.211,0.0,0.704,0.883,0.916,0.956,0.0,1.35,0.923,0.954,3.0,1.103,0.847,0.908,0.574,0.973,1.262,0.802,0.002,normal
0.986,0.0,0.0,1.02,0.92,0.0,1.174,0.925,0.541,0.494,1.075,0.858,0.447,0.706,0.857,0.876,1.05,0.07,0.0,0.698,0.789,0.874,0.962,0.0,1.212,0.892,0.985,3.0,1.111,0.854,0.901,0.596,0.973,1.238,0.808,0.0,normal
