s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
1.098,0.647,0.024,0.566,0.32,0.0,0.913,0.974,0.901,0.0,1.125,0.0,0.237,0.971,1.222,1.019,0.475,0.0,0.462,0.982,0.992,0.747,0.044,0.412,1.638,0.954,1.108,1.0,0.0,0.073,0.887,0.872,1.074,0.69,0.479,0.0,front
1.098,0.647,0.024,0.566,0.32,0.0,0.913,0.974,0.901,0.0,1.125,0.0,0.237,0.971,1.222,1.019,0.475,0.0,0.462,0.982,0.992,0.747,0.044,0.412,1.638,0.954,1.108,1.0,0.0,0.073,0.887,0.872,1.074,0.69,0.479,0.0,front
1.098,0.647,0.024,0.566,0.32,0.0,0.913,0.974,0.901,0.0,1.125,0.0,0.237,0.971,1.222,1.019,0.475,0.0,0.462,0.982,0.992,0.747,0.044,0.412,1.638,0.954,1.108,1.0,0.0,0.073,0.887,0.872,1.074,0.69,0.479,0.0,front
1.098,0.647,0.024,0.566,0.32,0.0,0.913,0.974,0.901,0.0,1.125,0.0,0.237,0.971,1.222,1.019,0.475,0.0,0.462,0.982,0.992,0.747,0.044,0.412,1.638,0.954,1.108,1.0,0.0,0.073,0.887,0.872,1.074,0.69,0.479,0.0,front
1.126,0.597,0.0,0.677,0.47,4.833,0.783,1.013,0.901,0.0,1.125,0.0,1.158,2.088,1.73,1.133,0.525,0.047,0.877,1.018,1.031,0.832,0.049,0.0,1.362,0.892,1.092,0.0,0.0,0.0,1.092,0.83,0.926,1.143,0.439,0.0,front
1.126,0.597,0.0,0.677,0.47,4.833,0.783,1.013,0.901,0.0,1.125,0.0,1.158,2.088,1.73,1.133,0.525,0.047,0.877,1.018,1.031,0.832,0.049,0.0,1.362,0.892,1.092,0.0,0.0,0.0,1.092,0.83,0.926,1.143,0.439,0.0,front
1.126,0.597,0.0,0.677,0.47,4.833,0.783,1.013,0.901,0.0,1.125,0.0,1.158,2.088,1.73,1.133,0.525,0.047,0.877,1.018,1.031,0.832,0.049,0.0,1.362,0.892,1.092,0.0,0.0,0.0,1.092,0.83,0.926,1.143,0.439,0.0,front
1.126,0.597,0.0,0.677,0.47,4.833,0.783,1.013,0.901,0.0,1.125,0.0,1.158,2.088,1.73,1.133,0.525,0.047,0.877,1.018,1.031,0.832,0.049,0.0,1.362,0.892,1.092,0.0,0.0,0.0,1.092,0.83,0.926,1.143,0.439,0.0,front
1.014,0.543,0.0,0.677,0.43,3.667,1.304,1.115,1.08,0.0,1.175,0.0,0.263,0.912,1.349,1.076,0.488,0.0,0.431,0.991,1.023,0.821,0.143,1.353,1.663,1.369,1.585,5.0,0.0,0.117,0.915,0.915,1.095,0.0,0.405,0.0,front
1.014,0.543,0.0,0.677,0.43,3.667,1.304,1.115,1.08,0.0,1.175,0.0,0.263,0.912,1.349,1.076,0.488,0.0,0.431,0.991,1.023,0.821,0.143,1.353,1.663,1.369,1.585,5.0,0.0,0.117,0.915,0.915,1.095,0.0,0.405,0.0,front
1.014,0.543,0.0,0.677,0.43,3.667,1.304,1.115,1.08,0.0,1.175,0.0,0.263,0.912,1.349,1.076,0.488,0.0,0.431,0.991,1.023,0.821,0.143,1.353,1.663,1.369,1.585,5.0,0.0,0.117,0.915,0.915,1.095,0.0,0.405,0.0,front
1.014,0.543,0.0,0.677,0.43,3.667,1.304,1.115,1.08,0.0,1.175,0.0,0.263,0.912,1.349,1.076,0.488,0.0,0.431,0.991,1.023,0.821,0.143,1.353,1.663,1.369,1.585,5.0,0.0,0.117,0.915,0.915,1.095,0.0,0.405,0.0,front
1.014,0.543,0.0,0.677,0.43,3.667,1.304,1.115,1.08,0.0,1.175,0.0,0.263,0.912,1.349,1.076,0.488,0.0,0.431,0.991,1.023,0.821,0.143,1.353,1.663,1.369,1.585,5.0,0.0,0.117,0.915,0.915,1.095,0.0,0.405,0.0,front
1.084,0.657,0.069,0.505,0.325,0.0,1.174,1.013,0.97,0.0,0.35,0.0,0.368,1.088,1.175,0.829,0.125,0.0,0.862,1.006,1.023,0.811,0.148,1.412,1.35,0.892,1.108,0.75,0.0,0.102,0.915,0.957,1.108,0.714,0.421,0.0,front
1.084,0.657,0.069,0.505,0.325,0.0,1.174,1.013,0.97,0.0,0.35,0.0,0.368,1.088,1.175,0.829,0.125,0.0,0.862,1.006,1.023,0.811,0.148,1.412,1.35,0.892,1.108,0.75,0.0,0.102,0.915,0.957,1.108,0.714,0.421,0.0,front
1.084,0.657,0.069,0.505,0.325,0.0,1.174,1.013,0.97,0.0,0.35,0.0,0.368,1.088,1.175,0.829,0.125,0.0,0.862,1.006,1.023,0.811,0.148,1.412,1.35,0.892,1.108,0.75,0.0,0.102,0.915,0.957,1.108,0.714,0.421,0.0,front
1.084,0.657,0.069,0.505,0.325,0.0,1.174,1.013,0.97,0.0,0.35,0.0,0.368,1.088,1.175,0.829,0.125,0.0,0.862,1.006,1.023,0.811,0.148,1.412,1.35,0.892,1.108,0.75,0.0,0.102,0.915,0.957,1.108,0.714,0.421,0.0,front
1.084,0.657,0.069,0.505,0.325,0.0,1.174,1.013,0.97,0.0,0.35,0.0,0.368,1.088,1.175,0.829,0.125,0.0,0.862,1.006,1.023,0.811,0.148,1.412,1.35,0.892,1.108,0.75,0.0,0.102,0.915,0.957,1.108,0.714,0.421,0.0,front
1.112,0.654,0.082,0.556,0.325,0.0,1.043,1.013,0.928,0.0,0.375,0.0,0.368,1.206,1.444,1.114,0.425,0.0,0.538,0.997,1.062,1.063,0.181,0.176,1.5,0.938,1.092,0.0,0.0,0.0,0.879,0.66,1.074,1.024,0.476,0.0,front
1.084,0.663,0.0,0.465,0.32,0.0,1.13,1.009,0.917,0.0,0.375,0.0,1.105,1.353,1.254,1.0,0.45,0.0,0.523,0.988,1.023,0.811,0.044,0.0,1.337,0.877,1.062,0.0,0.0,0.0,0.872,0.574,0.905,0.643,0.399,0.0,front
1.098,0.665,0.048,0.747,0.455,4.667,0.957,1.004,0.914,0.0,0.325,0.0,0.342,1.059,1.143,0.819,0.112,0.0,0.523,0.988,1.008,0.663,0.033,0.0,1.337,0.862,1.062,0.0,0.0,0.0,0.872,0.553,0.905,0.905,0.399,0.0,front
1.091,0.633,0.069,0.596,0.315,0.0,2.435,1.137,0.931,0.0,0.3,0.0,0.316,1.029,1.127,0.819,0.1,0.0,0.523,0.988,1.008,0.821,0.027,0.0,1.337,0.862,1.062,0.0,0.0,0.0,1.099,1.277,1.122,1.548,0.463,0.0,front
1.091,0.65,0.112,0.556,0.31,0.0,1.609,1.009,0.901,0.0,0.875,0.0,0.316,1.029,1.127,0.81,0.1,0.0,0.523,0.985,1.008,0.821,0.022,0.0,1.337,0.862,1.046,0.0,0.0,0.0,0.865,0.553,0.905,0.833,0.399,0.0,front
1.091,0.654,0.074,0.495,0.3,0.0,1.13,1.093,0.961,0.016,0.4,0.0,0.316,1.029,1.143,0.81,0.1,0.0,0.523,0.985,1.008,0.811,0.016,0.0,1.35,0.862,1.046,0.0,0.0,0.0,0.865,0.532,0.899,0.952,0.399,0.0,front
1.091,0.657,0.122,0.556,0.305,0.0,2.348,1.154,0.948,0.004,0.375,0.0,0.289,1.0,1.127,0.81,0.1,0.0,0.508,0.985,1.0,0.811,0.044,0.706,1.325,0.846,1.046,0.0,0.0,0.0,1.099,0.851,0.926,1.0,0.402,0.0,front
1.091,0.663,0.136,0.515,0.3,0.0,0.913,1.0,0.0,0.0,0.275,0.0,0.316,1.0,1.127,0.819,0.1,0.0,0.938,1.082,1.102,0.842,0.022,0.0,1.325,0.923,1.385,4.0,0.0,0.0,0.865,0.532,0.892,1.0,0.399,0.0,front
0.86,0.632,0.021,0.465,0.295,0.0,2.435,1.15,0.0,0.0,1.1,0.0,0.316,1.029,1.127,0.81,0.1,0.0,0.523,0.985,1.0,0.968,0.148,0.471,1.325,0.862,1.062,0.0,0.0,0.0,1.099,1.234,0.932,0.571,0.409,0.0,front
1.091,0.644,0.056,0.495,0.3,0.0,0.913,1.026,0.0,0.0,1.125,0.0,1.079,1.882,1.206,0.819,0.1,0.0,0.815,1.076,1.234,1.137,0.159,1.353,1.6,0.938,1.062,0.0,0.0,0.0,0.943,1.085,1.101,0.0,0.409,0.0,front
1.091,0.652,0.104,0.535,0.305,0.0,2.348,1.145,0.0,0.007,0.35,0.0,0.289,1.147,1.413,1.086,0.387,0.0,0.708,1.069,1.195,0.916,0.022,0.0,1.7,1.077,1.092,0.0,0.0,0.0,0.915,1.064,1.101,0.81,0.405,0.0,front
1.098,0.655,0.085,0.505,0.3,0.0,2.391,1.145,0.0,0.0,0.3,0.0,0.316,1.0,1.111,0.81,0.087,0.0,0.523,0.982,0.984,0.789,0.011,0.0,1.663,1.308,1.108,0.0,0.0,0.0,0.865,0.511,0.899,0.667,0.409,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,front
1.119,0.665,0.106,0.556,0.315,0.0,1.609,1.026,0.0,0.0,0.35,0.0,0.395,1.088,1.159,0.838,0.125,0.0,1.015,1.094,1.289,1.158,0.176,1.412,1.35,0.877,1.077,0.0,0.0,0.0,0.879,0.574,0.912,1.0,0.415,0.0,front
1.105,0.668,0.101,0.556,0.315,0.0,0.957,1.004,0.0,0.0,0.325,0.0,1.105,1.882,1.238,0.829,0.15,0.0,0.969,1.015,1.023,0.821,0.082,1.235,1.337,0.862,1.062,0.0,0.0,0.0,0.879,0.553,0.905,1.0,0.409,0.0,front
1.105,0.668,0.101,0.556,0.315,0.0,0.957,1.004,0.0,0.0,0.325,0.0,1.105,1.882,1.238,0.829,0.15,0.0,0.969,1.015,1.023,0.821,0.082,1.235,1.337,0.862,1.062,0.0,0.0,0.0,0.879,0.553,0.905,1.0,0.409,0.0,front
1.105,0.668,0.101,0.556,0.315,0.0,0.957,1.004,0.0,0.0,0.325,0.0,1.105,1.882,1.238,0.829,0.15,0.0,0.969,1.015,1.023,0.821,0.082,1.235,1.337,0.862,1.062,0.0,0.0,0.0,0.879,0.553,0.905,1.0,0.409,0.0,front
